INFO 2024-11-09 03:53:33,429 autoreload Watching for file changes with StatReloader
DEBUG 2024-11-09 03:53:34,130 autoreload File C:\Users\bilal\AppData\Local\Programs\Python\Python311\Lib\sqlite3\dbapi2.py first seen with mtime 1712086974.0
DEBUG 2024-11-09 03:53:34,130 autoreload File C:\Users\bilal\AppData\Local\Programs\Python\Python311\Lib\fractions.py first seen with mtime 1712086974.0
DEBUG 2024-11-09 03:53:34,130 autoreload File G:\Development\hh_test_01\hh_test\Lib\site-packages\django\db\backends\sqlite3\base.py first seen with mtime 1729716376.9048042
DEBUG 2024-11-09 03:53:34,130 autoreload File G:\Development\hh_test_01\hh_test\Lib\site-packages\sqlparse\engine\grouping.py first seen with mtime 1729716369.369628
DEBUG 2024-11-09 03:53:34,138 autoreload File C:\Users\bilal\AppData\Local\Programs\Python\Python311\Lib\multiprocessing\process.py first seen with mtime 1712086974.0
DEBUG 2024-11-09 03:53:34,138 autoreload File G:\Development\hh_test_01\hh_test\Lib\site-packages\django\db\backends\sqlite3\features.py first seen with mtime 1729716376.9048042
DEBUG 2024-11-09 03:53:34,138 autoreload File C:\Users\bilal\AppData\Local\Programs\Python\Python311\Lib\urllib\request.py first seen with mtime 1712086974.0
DEBUG 2024-11-09 03:53:34,138 autoreload File C:\Users\bilal\AppData\Local\Programs\Python\Python311\DLLs\unicodedata.pyd first seen with mtime 1712087000.0
DEBUG 2024-11-09 03:53:34,138 autoreload File G:\Development\hh_test_01\hh_test\Lib\site-packages\django\template\loader_tags.py first seen with mtime 1729716377.1679204
DEBUG 2024-11-09 03:53:34,138 autoreload File G:\Development\hh_test_01\hh_test\Lib\site-packages\django\contrib\admin\actions.py first seen with mtime 1729716371.4358795
DEBUG 2024-11-09 03:53:34,138 autoreload File G:\Development\hh_test_01\hh_test\Lib\site-packages\django\contrib\auth\apps.py first seen with mtime 1729716372.6745458
DEBUG 2024-11-09 03:53:34,145 autoreload File C:\Users\bilal\AppData\Local\Programs\Python\Python311\DLLs\_lzma.pyd first seen with mtime 1712087000.0
DEBUG 2024-11-09 03:53:34,145 autoreload File C:\Users\bilal\AppData\Local\Programs\Python\Python311\Lib\asyncio\protocols.py first seen with mtime 1712086974.0
DEBUG 2024-11-09 03:53:34,146 autoreload File G:\Development\hh_test_01\hh_test\Lib\site-packages\django\db\backends\signals.py first seen with mtime 1729716376.8180993
